,ret_pred,vol_pred,score,pct,signal,factors
ETERNAL,0.008885824,0.034258887,0.25937283,1.0,BUY,"corr_mkt_chg +0.09, corr_energy +0.06, eig_centrality_chg +0.05"
SHRIRAMFIN,0.0055226637,0.037541702,0.14710744,0.98,BUY,"eig_centrality +0.07, corr_energy +0.06, mkt_dispersion -0.06"
BAJAJFINSV,0.0037610196,0.02794238,0.13459912,0.96,BUY,"corr_mkt_chg +0.08, mkt_dispersion -0.07, atr14 -0.06"
INDIGO,0.0044610826,0.03567504,0.12504773,0.94,BUY,"corr_energy +0.07, mkt_dispersion -0.05, corr_mkt_chg +0.04"
MARUTI,0.0032391439,0.028947866,0.11189578,0.92,BUY,"corr_mkt_chg +0.08, mkt_dispersion -0.06, atr14 -0.06"
TRENT,0.0050608013,0.045269947,0.11179163,0.9,HOLD,"corr_mkt_chg +0.06, eig_centrality_chg +0.04, eig_centrality -0.04"
BAJFINANCE,0.0041955197,0.03850255,0.10896732,0.88,HOLD,"corr_mkt_chg +0.06, mkt_dispersion -0.05, sector_mom_10w +0.03"
M&M,0.0034458372,0.03206359,0.10746886,0.86,HOLD,"mkt_dispersion -0.06, corr_mkt_chg +0.05, sector_mom_10w +0.04"
JIOFIN,0.002709889,0.03140316,0.08629351,0.84,HOLD,"mkt_dispersion -0.06, sector_mom_10w +0.03, atr14 -0.03"
ADANIENT,0.0039336323,0.045781285,0.08592228,0.82,HOLD,"mkt_dispersion -0.05, corr_mkt_chg +0.04, eig_centrality_chg +0.03"
ADANIPORTS,0.0022772676,0.03725959,0.061118968,0.8,HOLD,"corr_mkt_chg +0.09, mkt_dispersion -0.07, eig_centrality_chg +0.06"
EICHERMOT,0.0011069984,0.026392896,0.041943043,0.78,HOLD,"corr_mkt_chg +0.08, mkt_dispersion -0.08, atr14 -0.07"
APOLLOHOSP,0.00080947974,0.024461217,0.033092372,0.76,HOLD,"corr_mkt_chg +0.10, atr14 -0.10, corr_mkt +0.08"
TATAMOTORS,0.00065139215,0.030931091,0.021059463,0.74,HOLD,"mkt_dispersion -0.09, corr_mkt_chg +0.06, sector_mom_10w +0.04"
HDFCLIFE,0.00039098738,0.02827353,0.013828742,0.72,HOLD,"mkt_dispersion -0.07, atr14 -0.05, sector_mom_10w +0.05"
GRASIM,0.0003560474,0.028353415,0.012557479,0.7,HOLD,"atr14 -0.09, mkt_dispersion -0.07, sector_mom_10w +0.04"
TATASTEEL,0.00037446036,0.031889737,0.011742347,0.68,HOLD,"corr_mkt_chg +0.11, mkt_dispersion -0.10, eig_centrality_chg +0.06"
HDFCBANK,-0.00017097243,0.025462631,-0.006714641,0.66,HOLD,"corr_mkt_chg +0.10, eig_centrality_chg +0.08, atr14 -0.08"
WIPRO,-0.00018156832,0.024723053,-0.00734409,0.64,HOLD,"mkt_dispersion -0.08, corr_energy +0.06, corr_it +0.05"
TITAN,-0.00034166803,0.024317876,-0.014050077,0.62,HOLD,"corr_mkt_chg +0.12, atr14 -0.07, mkt_dispersion -0.06"
MAXHEALTH,-0.00044578058,0.03169769,-0.014063504,0.6,HOLD,"mkt_dispersion -0.08, corr_mkt +0.05, corr_energy +0.05"
TCS,-0.0005697806,0.027516862,-0.020706598,0.58,HOLD,"mkt_dispersion -0.07, corr_it +0.06, corr_energy +0.05"
ASIANPAINT,-0.0007890982,0.02711334,-0.029103687,0.56,HOLD,"atr14 -0.08, mkt_dispersion -0.07, sector_mom_10w +0.04"
KOTAKBANK,-0.000785277,0.025197847,-0.031164449,0.54,HOLD,"atr14 -0.10, mkt_dispersion -0.06, corr_mkt_chg +0.06"
ULTRACEMCO,-0.0011453435,0.025218943,-0.045416,0.52,HOLD,"atr14 -0.09, mkt_dispersion -0.07, corr_mkt_chg +0.05"
BEL,-0.0013557903,0.027714755,-0.04891944,0.5,HOLD,"mkt_dispersion -0.08, atr14 -0.08, sector_mom_10w +0.06"
SBILIFE,-0.001280138,0.025553647,-0.0500961,0.48,HOLD,"atr14 -0.07, mkt_dispersion -0.07, corr_mkt_chg +0.05"
LT,-0.0013321165,0.024145208,-0.055171054,0.46,HOLD,"atr14 -0.07, mkt_dispersion -0.07, corr_mkt_chg +0.05"
