lag_weeks,pool_all,pool_high_vol,pool_low_vol,self_attn_all
0,0.016673895,0.016701588,0.016647533,0.018890288
1,0.016675523,0.016696272,0.016655771,0.016862597
2,0.016676443,0.016696444,0.016657412,0.017179653
3,0.016665839,0.01668654,0.016646136,0.018472271
4,0.016666627,0.016682757,0.016651286,0.017208682
5,0.016656658,0.016673505,0.016640611,0.016563805
6,0.01665816,0.01666607,0.016650649,0.016249722
7,0.016665775,0.016672505,0.016659392,0.016848091
8,0.016655397,0.016663766,0.016647393,0.016701711
9,0.01666454,0.016672418,0.016656995,0.015230136
10,0.016645268,0.016656833,0.016634226,0.016380519
11,0.016661938,0.016671527,0.016652742,0.015841246
12,0.01665347,0.016669141,0.016638579,0.01573712
13,0.016653242,0.016670344,0.016636962,0.015131098
14,0.016650325,0.016654817,0.01664608,0.015012704
15,0.016652483,0.016654413,0.016650695,0.015842494
16,0.01665308,0.016651772,0.01665436,0.015793672
17,0.016660288,0.01665951,0.01666103,0.015495233
18,0.016659372,0.016660923,0.016657842,0.015828958
19,0.016662212,0.016657766,0.016666448,0.015742524
20,0.016667275,0.016661558,0.016672693,0.015523799
21,0.016661376,0.016651787,0.01667051,0.016517399
22,0.016667796,0.016654275,0.016680667,0.01590474
23,0.016664363,0.016648,0.016679935,0.017258171
24,0.01667055,0.016657691,0.016682783,0.016098155
25,0.016673848,0.01665564,0.01669117,0.017571632
26,0.016671842,0.016655786,0.016687151,0.018278334
27,0.016675588,0.016657706,0.016692596,0.016335404
28,0.016674511,0.016653232,0.01669476,0.016165568
29,0.01667502,0.016662199,0.016687185,0.016340837
30,0.016670974,0.016667688,0.016674114,0.018385366
31,0.016676,0.016680637,0.016671568,0.016110968
32,0.016682893,0.01668524,0.01668064,0.015770636
33,0.016669858,0.016668048,0.016671576,0.016170928
34,0.016670203,0.016664188,0.016675906,0.016121604
35,0.016669836,0.016662505,0.016676761,0.01546526
36,0.016669553,0.016658487,0.016680073,0.015643872
37,0.01665765,0.016646804,0.016667977,0.016671473
38,0.016671898,0.016662318,0.016681027,0.016453177
39,0.016661506,0.016658228,0.016664648,0.015729345
40,0.016667888,0.016663853,0.016671706,0.015672974
41,0.01666295,0.016653977,0.016671522,0.017124495
42,0.016672293,0.01666932,0.016675116,0.0166884
43,0.016664663,0.016663343,0.01666592,0.016345259
44,0.016665835,0.016668888,0.016662953,0.016897468
45,0.016663397,0.016663555,0.016663253,0.015766822
46,0.016667992,0.016667953,0.016667986,0.016643113
47,0.016668133,0.016666686,0.016669435,0.016135406
48,0.016662598,0.01665734,0.016667634,0.016254645
49,0.0166666,0.016658451,0.016674327,0.016632555
50,0.016660921,0.016656544,0.016665058,0.016532693
51,0.016656876,0.016660146,0.016653745,0.01718075
52,0.016665943,0.016671948,0.016660258,0.016609872
53,0.016678283,0.016681526,0.016675245,0.015919274
54,0.016666893,0.016669573,0.016664375,0.01643863
55,0.016673366,0.016674295,0.016672527,0.018241296
56,0.01667893,0.016678084,0.016679708,0.018213892
57,0.016681405,0.016684432,0.016678542,0.019696994
58,0.016670479,0.016667882,0.016672978,0.020092186
59,0.016691582,0.016691351,0.016691778,0.021384
