lag_weeks,pool_all,pool_high_vol,pool_low_vol,self_attn_all
0,0.016666539,0.016663097,0.016669875,0.016666457
1,0.016666654,0.016662199,0.016670942,0.016666457
2,0.016666215,0.016660767,0.01667143,0.016666457
3,0.016666235,0.016662732,0.016669609,0.016666457
4,0.016665798,0.016665813,0.016665831,0.016666457
5,0.016666075,0.016667152,0.016665071,0.016666457
6,0.016666668,0.016667647,0.016665746,0.016666457
7,0.016666407,0.016667495,0.0166654,0.016666457
8,0.016666604,0.016667916,0.016665408,0.016666457
9,0.01666721,0.016666662,0.01666773,0.016666457
10,0.016667033,0.01666612,0.016667906,0.016666457
11,0.016666962,0.016666584,0.016667267,0.016666457
12,0.01666635,0.016665602,0.016667055,0.016666457
13,0.016666615,0.016667865,0.016665408,0.016666457
14,0.016667288,0.016667506,0.016667146,0.016666457
15,0.016666533,0.016666107,0.016666932,0.016666457
16,0.016666953,0.016667685,0.016666282,0.016666457
17,0.016667046,0.016665826,0.016668208,0.016666457
18,0.016666593,0.016665133,0.016668,0.016666457
19,0.016666941,0.016665973,0.016667858,0.016666457
20,0.016666548,0.016664565,0.016668405,0.016666457
21,0.016666275,0.016665636,0.016666882,0.016666457
22,0.016666204,0.016663954,0.016668368,0.016666457
23,0.016666504,0.016663661,0.016669204,0.016666457
24,0.016666941,0.016664157,0.016669584,0.016666457
25,0.016666457,0.016664704,0.016668182,0.016666457
26,0.016666409,0.016664116,0.016668623,0.016666457
27,0.016666183,0.016663818,0.016668491,0.016666457
28,0.016665919,0.01666317,0.016668553,0.016666457
29,0.016666675,0.016663842,0.016669443,0.016666457
30,0.01666815,0.01666804,0.016668249,0.016666457
31,0.016668009,0.016668754,0.016667346,0.016666457
32,0.016668927,0.01666935,0.01666858,0.016666457
33,0.016668603,0.016668748,0.016668519,0.016666457
34,0.01666851,0.01666704,0.016669938,0.016666457
35,0.016668368,0.01666692,0.016669739,0.016666457
36,0.016668804,0.016666729,0.016670855,0.016666457
37,0.016668644,0.016666709,0.016670506,0.016666457
38,0.016668404,0.01666605,0.016670644,0.016666457
39,0.016668197,0.016666312,0.016670035,0.016666457
40,0.016667696,0.016666252,0.016669149,0.016666457
41,0.01666758,0.016665984,0.016669137,0.016666457
42,0.016667666,0.01666768,0.016667644,0.016666457
43,0.016668022,0.016667372,0.016668605,0.016666457
44,0.01666757,0.016666899,0.016668215,0.016666457
45,0.01666806,0.016668122,0.016667949,0.016666457
46,0.016667685,0.016667698,0.016667597,0.016666457
47,0.016667552,0.016668212,0.016666906,0.016666457
48,0.016667942,0.016669981,0.01666599,0.016666457
49,0.016666887,0.016669063,0.016664784,0.016666457
50,0.016666666,0.016668966,0.016664509,0.016666457
51,0.01666645,0.016668735,0.016664289,0.016666457
52,0.016665744,0.016668541,0.016663073,0.016666457
53,0.016665107,0.016669204,0.01666121,0.016666457
54,0.01666449,0.016669214,0.016659949,0.016666457
55,0.016663695,0.016669966,0.016657729,0.016666457
56,0.016663847,0.016669499,0.016658472,0.016666457
57,0.01666229,0.016669706,0.016655246,0.016666457
58,0.01666207,0.016668297,0.016656151,0.016666457
59,0.016661132,0.016668396,0.016654264,0.016666457
