sector,n_stocks,buy_signals,buy_hit_rate,buy_mean_ret,mean_score_ret_corr
Auto,5,13,0.5384615384201183,0.004951719946491828,-0.10278942974635927
Banks,5,38,0.47368421052631576,0.00022032869195467547,-0.061669432219897555
Consumer,5,203,0.5320197044334976,0.008124033007495509,-0.08221658704671284
Energy,4,23,0.43478260867674856,-0.004243946634048479,-0.16625854956273386
FMCG,4,91,0.46153846153846156,0.0028697017191366835,-0.060443227142960215
Financial Services,6,78,0.5769230769008876,0.01102959185509717,-0.026762646536252946
IT,5,82,0.4024390243902439,-0.012897730628937119,-0.17364496480361138
Infra & Cement,6,154,0.538961038961039,0.008120112947351602,-0.08524560173972194
Metals & Mining,4,38,0.5526315789473685,0.001394121049854316,-0.10490250136559927
Pharma & Healthcare,5,113,0.5221238938053098,0.006465531926832895,-0.07574644171210076
Telecom & Media,1,2,0.5,0.006578654050827026,-0.15660074000020613
