regime,bucket,weeks,mean_ic,ic_t_stat,port_sharpe,port_mean_weekly_ret,bench_mean_weekly_ret
market vol,high,83,0.004995805551136106,0.1949406743852117,1.0394956809699563,0.005031097688484952,0.0017948774576693
market vol,low,84,0.010572341869764015,0.5145656963428322,0.49002993570938913,0.002980044865401666,0.0007537224337155149
avg correlation,high,83,-0.023776354742813942,-0.9739857033519466,0.7477386920475516,0.00400879577882024,0.0011277701029219433
avg correlation,low,84,0.03900197644592894,1.8221943161406882,0.7834963991228984,0.003990176514237036,0.001412888034239689
market 12w trend,high,83,0.027620921698478823,1.2833866858478467,1.4950518613084496,0.0063778180939429874,0.0015534659829926861
market 12w trend,low,84,-0.011783427656776996,-0.4802603009136107,0.11536390259538375,0.0016493568457228939,0.0009922599622650262
dispersion,high,83,0.014088512103123736,0.5606371061126658,0.8653815378678336,0.004196988597053827,-0.000631315255087291
dispersion,low,84,0.0015878818243476697,0.07518316256323818,0.6775190143126963,0.003804224086696708,0.00315103189989167
market week,bench < -2%,19,0.09122733303847856,1.5742954153168731,-12.577927387093911,-0.02495287476732361,-0.02880831064110931
market week,bench >= -2%,148,-0.00290939695896363,-0.17351311101253314,1.875766057694818,0.007716280387953647,0.005132739294592784
