setting,sharpe,cagr,max_drawdown,turnover,ic
cost 0.00%/side,0.8988975322492447,0.23938977580513487,,,
cost 0.05%/side,0.8330882902000964,0.2242389916109444,,,
cost 0.10%/side,0.7672909169273688,0.20926627064219883,,,
cost 0.15%/side,0.7015220359048685,0.19446960234103283,,,
cost 0.25%/side,0.5701357655009381,0.16539649025086223,,,
max position 5%,0.7668343302988224,0.10299590724889618,,,
max position 10%,0.7671887610397159,0.1398533032559357,,,
max position 20%,0.7672909169273688,0.20926627064219883,,,
mode rebalance,0.7672909169273688,0.20926627064219883,-0.27688990545183845,0.4740859983337245,
mode hold_zone,0.6693420364462629,0.17048858279520607,-0.23417615231829914,0.1820006614443537,
mode long_short,0.3965881209504801,0.12758889841751375,-0.297768885790753,1.2810690559102487,
top 10% of universe,0.7672909169273688,0.20926627064219883,,,
top 20% of universe,0.5509009716271103,0.14436434245563512,,,
decision: E[ret]/E[vol] (default) [test],2.5405431099199847,0.7485365766495384,,,0.06368687594301863
decision: E[ret]/E[vol] (default) [holdout],-1.124376971247087,-0.12417035723655145,,,-0.04117806455899976
decision: E[ret]/E[vol] (default) [all_oos],0.7672909169273688,0.20926627064219883,,,0.007800769926972899
decision: E[ret] only [test],2.2584618262933613,0.6234666451835722,,,0.05718701220473772
decision: E[ret] only [holdout],-0.11449876661804888,0.0012067391690466778,,,0.01370054531433796
decision: E[ret] only [all_oos],0.8234716366284686,0.25470027703895237,,,0.0340115897302133
decision: E[ret]/(E[vol]+0.03) [test],2.3833852859558773,0.6758359049574285,,,0.05906530715716044
decision: E[ret]/(E[vol]+0.03) [holdout],-0.20766761341449816,-0.0032507590577544043,,,-0.01607536187758983
decision: E[ret]/(E[vol]+0.03) [all_oos],0.9480777922918039,0.2701080257705548,,,0.019020279947024064
decision: -E[vol] only [test],0.24354188521950212,0.09130615531276631,,,-0.05728588749518032
decision: -E[vol] only [holdout],-1.7875712578935998,-0.16685050215511255,,,-0.017546770723864374
decision: -E[vol] only [all_oos],-0.8028349579283759,-0.05473524663201057,,,-0.03610755580268261
