,0
beta_mkt,0.002995376772962944
corr_mkt,0.00218393318621114
pca_3,0.001638184395375572
corr_energy,0.001560427298722092
atr14,0.0014450040706892255
mkt_vol_20d,0.0013802812256443588
mkt_ma26_dev,0.0013731649421413702
mkt_dispersion,0.0013169386522791106
beta_sector,0.0013159431167910536
peer_ret_4w,0.0012638383274721275
eig_centrality,0.0009810225541617367
corr_banks,0.0008826112782836343
corr_mkt_chg,0.0008427716385640041
peer_ret_1w,0.0008088019401896323
clustering,0.0008014779850766051
corr_extra_sector,0.0007987043433519136
sector_FMCG,0.0007743635669660887
pca_1,0.0007737026546578668
peer_ret_12w,0.0006933716946778723
mkt_avg_corr,0.0006783181559810642
rel_strength_4w,0.000664792417938436
vol_4w,0.0006405617122825303
corr_it,0.0006249834098922979
pca_2,0.0006095070001968142
eig_centrality_chg,0.0005953647096793801
mkt_ret_12w,0.000545909792808683
sector_centrality,0.0005219190838495686
rv,0.0004919897814240922
bb_width,0.0004873663010741201
corr_mkt_vol,0.00047269958952745103
pca_0,0.00044065674687929825
deg_centrality,0.00042827375068200236
sector_Metals & Mining,0.0004224404633204205
sector_mom_10w,0.0004007123583369338
sector_Energy,0.00036718968605977103
vol_12w,0.0003660819587363988
log_low,0.00034642258884752487
sector_Infra & Cement,0.00034305543805779055
log_high,0.00034119398370365374
corr_intra_sector,0.00030973631336661203
minus_di,0.00016137103457817558
plus_di,0.00015088599101875996
sector_IT,0.00014693105903330257
sector_Consumer,0.00013903153389508802
sector_Banks,0.00013714022822313923
pca_4,0.0001360719273380512
macd,0.00011001552657171747
macd_signal,0.00010681929131774522
volume_ratio_12w,0.00010266301474429196
log_volume_ratio,9.722201499969384e-05
bb_pctb,9.583480694099416e-05
cci20,9.252371482627556e-05
ret_26w,8.995624045365568e-05
stoch_d,8.749304425630904e-05
sector_Auto,8.289042005481239e-05
sector_Pharma & Healthcare,7.418082534569619e-05
kurt_12w,6.709617197219379e-05
williams_r,5.914154429242299e-05
log_open,4.7366240992485164e-05
stoch_k,4.6957391349020706e-05
skew_12w,4.426488080556794e-05
ret_12w,4.4066790174028464e-05
acf1_12w,4.0771259086264236e-05
rsi14,3.957571580182846e-05
macd_hist,3.916714176531649e-05
adx14,3.454795642129464e-05
sector_Financial Services,2.7493709543087783e-05
obv12,1.8794929180040662e-05
sector_Telecom & Media,1.8719542597875584e-05
log_close,1.2982730196315626e-05
ret_1w,1.2954839252163074e-05
ret_4w,6.539877627614206e-06
