symbol,sector,beta,size_inr,weeks,buy_signals,buy_hit_rate,buy_mean_ret,score_ret_corr,beta_bucket,size_bucket
ADANIENT,Infra & Cement,1.7048829793930054,17995532137.070312,167,71,0.4647887323943662,0.0016739469720050693,-0.09880754841435889,high beta,mid
ADANIPORTS,Infra & Cement,1.5188066959381104,16840849400.0,167,44,0.6363636363636364,0.017574040219187737,-0.057303637131932365,high beta,mid
APOLLOHOSP,Pharma & Healthcare,0.7119685411453247,12214364332.023438,167,8,0.5,0.0031768158078193665,0.020053696393787297,low beta,smaller
ASIANPAINT,Consumer,0.7186704874038696,13769233658.460938,167,5,0.0,-0.020851338282227516,-0.06884681583476765,low beta,smaller
AXISBANK,Banks,1.083046555519104,42327282952.65613,167,1,0.0,-0.07617610692977905,-0.06653560349181156,mid beta,larger
BAJAJ-AUTO,Auto,0.8514030575752258,15170771249.15332,167,6,0.5,0.0021045405883342028,-0.1923098725097138,low beta,mid
BAJFINANCE,Financial Services,1.1890218257904053,36243972457.37628,167,0,,,0.06194667463695673,high beta,larger
BAJAJFINSV,Financial Services,1.1331052780151367,11213684698.724976,167,0,,,-0.03179527348057757,high beta,smaller
BEL,Infra & Cement,1.2671068906784058,25944240112.226562,167,25,0.6,0.014647167176008224,-0.07441743019984129,high beta,larger
BHARTIARTL,Telecom & Media,0.7983261346817017,44835658468.406006,167,2,0.5,0.006578654050827026,-0.15660074000020613,low beta,larger
CIPLA,Pharma & Healthcare,0.5678399205207825,9581733136.45996,167,4,0.25,-0.006642848253250122,-0.09891318911230894,low beta,smaller
COALINDIA,Metals & Mining,1.0087171792984009,14718022149.330322,167,9,0.5555555555555556,0.0033673709258437157,-0.18842693270945202,mid beta,smaller
DRREDDY,Pharma & Healthcare,0.5975908637046814,10914490336.486816,167,2,0.5,-0.010387688875198364,-0.09438867531717976,low beta,smaller
EICHERMOT,Auto,1.002837896347046,13555982474.34082,167,1,1.0,0.008825540542602539,-0.030831624187081953,mid beta,smaller
ETERNAL,Consumer,1.142113208770752,44281873646.54584,162,106,0.5849056603773585,0.014552148059010506,-0.09501369677416624,high beta,larger
GRASIM,Infra & Cement,1.1189608573913574,8043111888.262207,167,4,0.5,-0.0016001313924789429,-0.09272676677625817,high beta,smaller
HCLTECH,IT,0.9450228810310364,19114849085.199463,167,17,0.47058823529411764,-0.016457006335258484,-0.18711801869582698,mid beta,mid
HDFCBANK,Banks,1.0705431699752808,113614461786.5409,167,6,0.6666666666666666,0.014550457708537579,-0.07168107846269596,mid beta,larger
HDFCLIFE,Financial Services,0.790784478187561,10029607737.21582,167,4,0.25,-0.004939049482345581,-0.02672969040170456,low beta,smaller
HINDALCO,Metals & Mining,1.1811517477035522,17654698810.78009,167,24,0.6666666666666666,0.008073416538536549,-0.1044451544415472,high beta,mid
HINDUNILVR,FMCG,0.5455793738365173,18060519239.109375,167,14,0.5714285714285714,0.0007904171943664551,-0.012117761035588032,low beta,mid
ICICIBANK,Banks,0.9018722176551819,74145336291.10474,167,21,0.5714285714285714,0.0030183736234903336,-0.06769249796448411,mid beta,larger
INDIGO,Consumer,1.170566439628601,19766762220.0,167,13,0.46153846153846156,0.012265512719750404,-0.04859987426180342,high beta,mid
INFY,IT,1.0409209728240967,51850678436.61328,167,19,0.42105263157894735,-0.01631913147866726,-0.19452575056427593,mid beta,larger
ITC,FMCG,0.632658839225769,24599943291.0141,167,29,0.4482758620689655,-0.002022393746301532,-0.09731569563111299,low beta,larger
JIOFIN,Financial Services,1.3779746294021606,21264890627.600037,53,0,,,-0.02846315110466054,high beta,mid
JSWSTEEL,Metals & Mining,1.2719894647598267,8810016212.436462,167,1,0.0,-0.020991623401641846,-0.013872427262514558,high beta,smaller
KOTAKBANK,Banks,0.9819951057434082,34237086395.058594,167,4,0.25,-0.007226869463920593,-0.0394168633473157,mid beta,larger
LT,Infra & Cement,1.1948184967041016,33534925553.654297,167,1,0.0,-0.01162642240524292,-0.12317190060498624,high beta,larger
